INSERT INTO `canas` (`Name`, `Description`, `Star_Num`, `Faction`, `Type`, `Talent`, `Exclusive_skill`) VALUES ('牧師','洛亞戰役的前線戰場上，最耀眼的英雄，不是聖騎士阿爾法，也不是召喚師莉娜，而是不善言辭的牧師岡布奧。它在戰場上來回奔走，拯救了無數士兵的生命。','2','卡納斯的啟示','魔法系','所有岡布奧施放【治療術】時，提升-/10%/15%/20%/25%/30%效果，並清除中毒及燃燒狀態。','牧師岡布奧救治過無數傷者，對各類生物的身體構造瞭然於胸。因此，在施放恢復類魔法時，額外獲得15%/30%/45%/60%/75%效果加成。出戰時，初始攜帶5張【治療術】每層獲得1張【治療術】');

INSERT INTO `canas` (`Name`, `Description`, `Star_Num`, `Faction`, `Type`, `Talent`, `Exclusive_skill`) VALUES ('魔法師','作為布拉卡塔爾魔法學院的教授，魔法師岡布奧一直以喜怒無常著稱。雖然很多學生不喜歡它的風格，但誰也沒法否認，它在魔法上的深厚造詣。','2','卡納斯的啟示','魔法系','所有岡布奧魔力增加-/1/2/2/3/4，所有岡布奧魔法值增加-/10/15/20/25/30點。','魔法師岡布奧憑藉豐富的魔法知識，在施放任意傷害類魔法時，15%/30%/45%/60%/75%概率產生暴擊，額外造成50%傷害。出戰時，初始攜帶5張【閃電術】每層獲得1張【閃電術】');

INSERT INTO `canas` (`Name`, `Description`, `Star_Num`, `Faction`, `Type`, `Talent`, `Exclusive_skill`) VALUES ('巫醫','巫醫岡布奧在很小的時候，便展現出了巫術方面的天賦，並因此成為部落的首領。在它的帶領下，連續兼並了周圍數個部落，成為南方森林最強大的統治者。','2','卡納斯的啟示','魔法系','所有岡布奧施放【詛咒術】時，提升25%效果，並同時降低生命值。','巫醫岡布奧沈迷巫毒（免疫中毒），因此無法施放任何恢復類魔法。但它施放其它魔法時，都能額外恢復生命值（受魔力影響）出戰時，初始攜帶5張【詛咒術】每層獲得1張【詛咒術】');

INSERT INTO `canas` (`Name`, `Description`, `Star_Num`, `Faction`, `Type`, `Talent`, `Exclusive_skill`) VALUES ('商人','“五十金幣？手工費都不夠！妳看這上面的花紋，簡直就是藝術品！該死，我怎麼會想要賣它！對不起，我不賣了！”商人岡布奧拿著一柄普通的長劍，暴跳如雷。','1','卡納斯的啟示','冒險系','世界地圖上，必定出現旅行商人，旅行商人額外增加10件商品。','迷宮中，商人岡布奧能夠說服店主，把壓箱底的貨物都掏出來（寶物商店及捲軸商店額外增加3件商品，並降低25%售價）');

INSERT INTO `canas` (`Name`, `Description`, `Star_Num`, `Faction`, `Type`, `Talent`, `Exclusive_skill`) VALUES ('國王','在卡納斯平原，國王岡布奧統治著一個龐大的王國。隨著時間的推移，它開始厭煩這種平淡。某次偶然的機會，它將權利移交給大臣，開始了自己的冒險之旅。','3','卡納斯的啟示','冒險系','所有岡布奧在進入迷宮時，初始隨機攜帶1件寶物（4階）','國王岡布奧為贏得戰爭，不惜消耗探索點，直接對敵人展開精準打擊和全面打擊（主動施放，效果依技能等級提升）。出戰時，初始攜帶【徵稅令】');

INSERT INTO `canas` (`Name`, `Description`, `Star_Num`, `Faction`, `Type`, `Talent`, `Exclusive_skill`) VALUES ('收魂者','作為冥王在凡間的代言人，收魂者岡布奧手持鋒利的鐮刀，履行著古老的使命。終於在某天，它開始懷疑自己所做的一切。於是它帶著疑惑，開始探尋生命的本質。','1','卡納斯的啟示','戰鬥系','所有岡布奧在迷宮探險時，降低50%復活所需的鑽石花費。','迷宮中，當收魂者岡布奧死亡時，可以消耗靈魂自動復活。復活後，能夠恢復一半的生命值及少量的魔法值（每殺死一個有生命的敵人，可以收割5個靈魂碎片）');

INSERT INTO `canas` (`Name`, `Description`, `Star_Num`, `Faction`, `Type`, `Talent`, `Exclusive_skill`) VALUES ('世界樹','每一棵生命樹，在進階世界樹的時候，都會誕生一個魔靈。而世界樹岡布奧，正是史上最偉大的世界樹——天際之樹卡伊納蒂斯的魔靈，也是迄今為止最年長的魔靈。','2','卡納斯的啟示','冒險系','同陣營岡布奧降低敵人攻擊3點，同陣營岡布奧生命值增加50點。','作為萬物之靈，世界樹岡布奧能夠壓制所有的植物系生物（額外造成100%傷害），並在殺死任何有生命的敵人後，均會吸收5份生命精華，藉此凝結出世界樹之心。出戰時，初始攜帶【世界樹之心】');

INSERT INTO `canas` (`Name`, `Description`, `Star_Num`, `Faction`, `Type`, `Talent`, `Exclusive_skill`) VALUES ('惡魔獵手','第一次黎明戰爭結束後，惡魔獵手岡布奧簽署了黑暗契約，獲得了強大的力量，與邪惡抗衡。並因此付出了極高昂的代價。可惜它的付出，並沒有得到同胞的理解。','2','卡納斯的啟示','戰鬥系','同陣營岡布奧閃避增加10%，同陣營岡布奧閃避上限增加5%。','惡魔獵手岡布奧全身環繞著混沌之火，在攻擊時，40%概率令敵人燃燒（燃燒傷害受惡魔獵手魔力影響），持續3輪。出戰時，初始攜帶【詛咒視界】');

