INSERT INTO `ranger` (`Name`, `Description`, `Star_Num`, `Faction`, `Type`, `Talent`, `Exclusive_skill`) VALUES ('強盜','以暴政著稱的法羅大公，做夢也想不到，竟然有人敢綁架自己，並把自己平日的殘暴，十倍返還。“呵！我只是希望世界能夠公平一點。”強盜岡布奧輕蔑的說道。','2','遊蕩者之歌','戰鬥系','允許對已通關的迷宮進行掃蕩，每個迷宮每天可掃蕩-/1/3/5/7/12次。','迷宮中，強盜岡布奧善於伏擊敵人。每當有新敵人出現時，7%/14%/21%/28%/35%概率進行偷襲，令敵人損失50%生命值。出戰時，初始攜帶3個【強盜飛爪】');

INSERT INTO `ranger` (`Name`, `Description`, `Star_Num`, `Faction`, `Type`, `Talent`, `Exclusive_skill`) VALUES ('吟遊詩人','從炙炎瀰漫的艾比諾斯深淵，到寒風凜冽的冰霜之角，吟遊詩人岡布奧走訪了大陸幾乎每一個角落。“很簡單，我要成為歷史與奇蹟的見證者！”它微笑著回答。','2','遊蕩者之歌','冒險系','所有岡布奧在進入迷宮時，初始增加-/80/120/160/200/240點探索點。','迷宮中，吟遊詩人岡布奧每擊敗一個敵人，都會為其譜寫一首歌曲，並因此獲得2/3/4/5/6點探索點（高等級迷宮，探索點額外加成）');

INSERT INTO `ranger` (`Name`, `Description`, `Star_Num`, `Faction`, `Type`, `Talent`, `Exclusive_skill`) VALUES ('賞金獵人','對那些行走在黑暗邊緣的生物來說，賞金獵人岡布奧無疑是他們的夢魘。它在很小的時候，就學會用手中的魔銃，在荒野上獵殺各種危險生物。','2','遊蕩者之歌','冒險系','所有岡布奧在迷宮探險時，清光每層敵人，增加-/4%/6%/8%/10%/12%探索點獎勵。','迷宮中，每層標記一個獵物，賞金獵人岡布奧攻擊獵物時，額外造成40%/80%/120%/160%/200%傷害。當獵物被擊殺後，可獲得4/8/12/16/20探索點的報酬。出戰時，初始攜帶3張【通緝令】');

INSERT INTO `ranger` (`Name`, `Description`, `Star_Num`, `Faction`, `Type`, `Talent`, `Exclusive_skill`) VALUES ('零式','作為一個機械造物，零式岡布奧有著它自己的堅持與驕傲。“我擁有絕對的力量和永恆的生命，我誓必用這些，建立一個屬於機械生物的國度。”','2','遊蕩者之歌','戰鬥系','所有岡布奧在煉金時，降低20%暗鋼及魂晶合成需求。','零式岡布奧作為戰爭的終極兵器，在攻擊敵人時，50%概率發動黎明巨炮，將所造成傷害的75%濺射到全體敵人。');

INSERT INTO `ranger` (`Name`, `Description`, `Star_Num`, `Faction`, `Type`, `Talent`, `Exclusive_skill`) VALUES ('神龍','來自上層位面的神龍史萊姆，雖然只是神龍的化身，但它的強大，依然可以和次級位面的諸神媲美。或許是在這個位面待得太久的緣故，它開始迷戀這裡的一切。','3','遊蕩者之歌','魔法系','所有岡布奧在迷宮探險時，增加60%龍珠出現概率。','迷宮中，神龍岡布奧發動龍神之力，每層鎖定一個敵人，降低其10%攻擊及生命值。該敵人被擊殺後，5%概率轉換為龍珠。出戰時，初始攜帶3張【神恩術】，每3層獲得1張【神恩術】');

INSERT INTO `ranger` (`Name`, `Description`, `Star_Num`, `Faction`, `Type`, `Talent`, `Exclusive_skill`) VALUES ('武藏','來自東方的武藏岡布奧，自稱為“侍”的神秘職業。它所持有的武士刀，擁有比閃電還快的斬擊速度。相傳被它斬殺的對手，在感受到痛苦之前，便已失去了生命。','2','遊蕩者之歌','戰鬥系','同陣營岡布奧攻擊增加5點，同陣營岡布奧降低15%所受遠程傷害。','武藏岡布奧殺死敵人後，會累積殺氣，並以此施展拔刀術（主動施放），可直接斬殺生命值較低的敵人。出戰時，初始攜帶【五輪書】');

